metric,value
n,71237
accuracy,0.8777180397826972
precision,0.9961510099102502
recall,0.8669891362199055
f1,0.9270930106041965
specificity,0.9709041468388852
false_positive_rate,0.029095853161114887
false_negative_rate,0.13301086378009455
negative_predictive_value,0.4566440721319862
balanced_accuracy,0.9189466415293953
mcc,0.615949639049528
macro_f1,0.7741192883230177
weighted_f1,0.8955048828790517
synthetic_prevalence,0.8967530917921867
roc_auc,0.9789369680600136
average_precision,0.9973830147926075
brier_score,0.09992474165038472
log_loss,0.4588499699553412
ece_10_bins,0.12286567292593675
